Gene,P-Value,Corrected P-Value
SPATS2,1.2668924520618539e-05,6.368891857117952e-05
ZNF362,1.4686507039051514e-05,7.223458216503299e-05
ABCA5,6.615998952788857e-07,5.511985692422716e-06
TRAPPC8,4.149885833853092e-09,1.122644724788219e-07
ZNF136,4.074677348179151e-06,2.445267924633783e-05
LPAR5,3.829352794570217e-06,2.3257404785720284e-05
SNRNP48,4.878970751111067e-11,5.120104497848672e-09
PHF20,9.244435794993978e-07,7.160665171509176e-06
SCRN3,5.06184575389665e-07,4.469658944824275e-06
TM2D3,4.440943961009508e-06,2.6327247360379013e-05
TRIM4,7.959568404187646e-06,4.261580641652948e-05
IL32,2.0393074356612894e-07,2.184200329029177e-06
DNMT1,2.168990028682351e-09,6.861552803779471e-08
NUP62,4.837718110149963e-10,2.490512049725316e-08
CCDC82,8.28763120738372e-10,3.619727926678275e-08
PPP4R2,1.9630976816200464e-11,2.8191115917369983e-09
RBAK,1.1768873861123008e-06,8.767610192511706e-06
GIN1,1.063083375195518e-08,2.2794679679536118e-07
FBH1,8.29147866657109e-10,3.619727926678275e-08
ZNF518A,7.478692260773505e-09,1.7440693874803856e-07
AP1G2,5.525919108308457e-06,3.149900153967448e-05
XPO7,1.1195730611878815e-09,4.35422651651208e-08
ZNF354B,4.756464312919999e-06,2.7875652712400665e-05
ZBTB20,6.654004468335641e-07,5.5351985341017676e-06
ZNF33B,1.347399087697892e-07,1.5627538409282458e-06
C14orf28,3.7293343980112797e-07,3.5178872618751173e-06
NXT2,2.122079259851002e-08,3.8472380468461523e-07
PLAG1,1.7454379829162927e-06,1.2102738338976123e-05
MAP3K7,2.0948866118538476e-06,1.4069903065706396e-05
STAG3L3,2.4106888512220717e-07,2.5033547214307984e-06
SOCS4,1.12540529666114e-06,8.43051581234902e-06
PHRF1,1.0014715854574742e-06,7.659468033414768e-06
SLX4,1.5346606926601754e-06,1.0876160259541009e-05
STRN3,2.3084991764707296e-08,4.1303213134428754e-07
HDGF,1.3454175306261608e-06,9.769718515804337e-06
EOMES,6.080848461105506e-07,5.156672890792968e-06
ZNF141,1.3616140082565707e-09,5.142095254710109e-08
TMTC4,1.3311534258297818e-06,9.672575558925591e-06
ATP5MPL,6.564195894459127e-08,9.057096585603909e-07
STAG3L2,2.4106888512220717e-07,2.5033547214307984e-06
ST8SIA4,1.542420436457259e-06,1.0922386277385124e-05
RUSC1-AS1,4.063970344297168e-06,2.4410661715827903e-05
SRF,6.758346440862499e-09,1.6160370101224023e-07
DYRK1A,6.528473560457247e-06,3.618677523556648e-05
SETD4,8.483782655970242e-06,4.4882212267212415e-05
ANKFY1,2.916704176502157e-06,1.858313449056891e-05
EEF1E1,6.667486351544688e-07,5.5421893404995215e-06
GMFB,4.718588865753366e-10,2.452318041944392e-08
PLPBP,1.1785353041191785e-05,5.971464396080183e-05
PTRH2,1.2014381179230504e-05,6.07622595876375e-05
AUTS2,1.2517836734060447e-06,9.156815540971762e-06
APP,5.24999989795939e-06,3.0236674874052126e-05
HAS3,2.6327300492973623e-07,2.6654560072385354e-06
POC1B,7.301780139228264e-06,3.974644809951984e-05
HSPBP1,6.446601427126176e-06,3.580570380440462e-05
ZNF493,4.989217070388535e-09,1.2872887731967015e-07
FAM122C,3.7545871087329404e-06,2.2887670051123177e-05
CCNK,1.9030978906979228e-07,2.0667075004056845e-06
TP53,2.3074697776785358e-10,1.4901612516913336e-08
LIPN,7.455822636542368e-08,9.95092218203865e-07
C20orf197,8.991873322974833e-07,7.0148181162935895e-06
TNFRSF13B,3.1750054395697174e-06,2.0024811745742998e-05
NIBAN3,1.6834154404006364e-05,8.090178827182979e-05
ANXA2,8.366680603505878e-06,4.4466299067348994e-05
CTCFL,1.5474957160579353e-05,7.550008156037687e-05
ZNF268,7.69256359036976e-06,4.156735151413578e-05
PNPLA8,6.850612994777779e-09,1.632480135917133e-07
PXYLP1,7.45817696986221e-08,9.95092218203865e-07
ITGB3BP,1.9340755240904377e-06,1.3192812668701896e-05
CMIP,2.583301995507468e-07,2.6349680354176173e-06
CD4,6.388522834728975e-06,3.553737931612234e-05
GANAB,8.593742048386356e-12,1.61710518476015e-09
DPYSL2,2.291205879920018e-07,2.4046050590878628e-06
CAPZA1,6.348680850853034e-06,3.5333759717598166e-05
MYH9,1.2843486006730082e-06,9.376174332939941e-06
HMGB1,2.253882460119826e-09,6.96851931154328e-08
CLTC,5.84856878855419e-06,3.288577009700177e-05
ACTR2,7.932170113622224e-06,4.2520483605143886e-05
PSAP,9.409287057032882e-06,4.913538705285018e-05
DNAJB4,1.8520388827953915e-07,2.02131523668289e-06
CPSF7,1.5129514585361686e-05,7.404642250432173e-05
CSTF1,6.830172726464232e-06,3.760834974292182e-05
TMEM33,7.694456000663493e-08,1.0179065792877742e-06
EFR3A,8.286071832812059e-08,1.0651262404671252e-06
DNAJB2,5.203500789742236e-06,3.001638880509871e-05
SAMHD1,8.92766924191365e-06,4.6957388966865333e-05
FAM8A1,8.295375704572625e-08,1.0651262404671252e-06
G2E3,1.2508909392033686e-05,6.300057088355129e-05
PCGF3,2.8478014613435164e-07,2.846236735265855e-06
TTL,4.657393624884771e-07,4.211333390388765e-06
SLC25A23,1.7094153520832575e-07,1.877110226756521e-06
SLC35E1,6.977299108549159e-07,5.716985170473388e-06
USP21,4.4088809027963165e-07,4.039632204892763e-06
ACSL3,7.380575078895921e-09,1.736025784721338e-07
PAK2,1.5136488772178877e-05,7.404735027322289e-05
ARL6IP6,2.6836905646966835e-11,3.4868808122737623e-09
KMT2A,7.728045319301265e-09,1.7794068906087343e-07
FZD6,1.1444161310077311e-05,5.825633234057079e-05
ZNF770,1.2725889281784334e-07,1.4966633148857137e-06
WDR82,8.447409604491035e-06,4.479149529473764e-05
SCYL2,1.357220233488871e-07,1.5689465876435657e-06
FAM92A,4.918711253072859e-09,1.2721046117544357e-07
SREK1,5.878962723642298e-07,5.024510506329839e-06
IDI1,3.1404279572011184e-08,5.281144949906472e-07
CDC73,3.8320009030084535e-07,3.592994661119782e-06
MFHAS1,1.1865760776108665e-06,8.815376362082192e-06
KMT2C,1.9738437644644523e-06,1.3413780102967018e-05
IRGQ,9.360359929024307e-07,7.229934059828116e-06
ATP11B,1.4039770689023578e-05,6.948090374347635e-05
NELFCD,1.1394317956426428e-10,9.005051682757271e-09
ROCK1,5.3996344609524445e-08,7.843526283662753e-07
SGMS1,9.673720431277967e-06,5.032363431218671e-05
CCDC88A,2.1088407914073357e-05,9.769495589250728e-05
SUZ12,5.2184058358662745e-08,7.679147600462198e-07
ABCA1,2.0657513787682157e-05,9.597107349479873e-05
TIMM50,1.6029194916178903e-08,3.0854079949766587e-07
NEDD1,7.199966501640143e-07,5.877369812931976e-06
ASH1L,1.830086612706315e-07,2.001359247602878e-06
CALML4,3.647834864299076e-08,5.926371206367196e-07
SIAH1,7.492777113977175e-07,6.082189437213462e-06
RIMS3,1.7824982001412956e-05,8.476769218449718e-05
GALNT6,3.159109326888374e-08,5.304387568255341e-07
SS18L1,5.188818342970641e-08,7.679147600462198e-07
PHACTR2,1.112844281975985e-09,4.35422651651208e-08
KLHL7,4.547306370831638e-08,7.079786266941013e-07
VCPIP1,7.49348949589371e-11,6.542715548654715e-09
HDGFL3,1.2660163000659298e-07,1.4950276769816552e-06
CPNE8,2.628241747957305e-09,7.8588028595085e-08
WAC,3.6886518042158256e-08,5.972988989793994e-07
ZFYVE16,1.0903727857534253e-07,1.3186429758351392e-06
TNIK,3.878852289849778e-06,2.3518774384122487e-05
SEPSECS,5.314605570310345e-09,1.348921051031793e-07
PFKFB2,1.2807827274619034e-07,1.503060504034324e-06
ZNF117,4.6096034334732626e-08,7.146194868313521e-07
GPR180,4.4203435031805025e-06,2.623362098624905e-05
TMEM267,4.7550674512409864e-08,7.295024373584778e-07
CPEB3,5.920795733205309e-07,5.052350635825077e-06
CARD8,3.0296448234096093e-06,1.9201500459465083e-05
UBAP2L,1.4912795328000227e-09,5.498589466547111e-08
BCL7A,1.9010088029185292e-08,3.5225144439818044e-07
CEP164,3.8045711903071785e-06,2.3132640652374678e-05
ZNF384,4.272431483550072e-06,2.545268406739382e-05
ZNF626,1.5281849994530756e-05,7.465806214875052e-05
CCNT1,1.2679465016026965e-05,6.371256039821285e-05
BCLAF3,5.911901756417925e-09,1.4608070983314042e-07
JRKL,2.4623890301939013e-08,4.3627457590156234e-07
CEP128,2.069918304049509e-06,1.3947288758602072e-05
SNX29,3.7680271160001105e-09,1.0437626381732287e-07
RHOT1,2.143329874413675e-09,6.814288426334528e-08
THAP5,1.0288794608425895e-07,1.2602907335169497e-06
CCDC39,1.0485251789970203e-05,5.3979263224403204e-05
FCRL3,9.375588585562244e-06,4.898285008273161e-05
APOBEC3D,6.0960299928685596e-06,3.404933539933555e-05
CCDC112,5.916041208195718e-09,1.4608070983314042e-07
RYK,1.8127063841186023e-06,1.2451257337990847e-05
KANSL1,3.1832934462993124e-10,1.8382256440693492e-08
KDM2B,1.7343221940735536e-08,3.291894334977177e-07
KLRF1,3.3539312691456706e-06,2.0915880110356957e-05
ARID4A,8.391511526173187e-08,1.0749408074724667e-06
RGPD4,3.686212653619579e-06,2.2587300427882657e-05
ABL2,5.493387816547133e-07,4.754546758905267e-06
SMARCA4,5.441060686626291e-11,5.409928508786066e-09
MPL,5.612411032010368e-07,4.834558327021401e-06
ZNF574,7.684383844976023e-07,6.194044703402388e-06
LCK,3.517609917934771e-06,2.186286710953308e-05
SACM1L,7.134889568493099e-06,3.8954569660096885e-05
HVCN1,7.091531997996903e-10,3.290912494977728e-08
MRPS14,1.6119739764361265e-05,7.819148435032837e-05
ZNF700,1.725154481988943e-09,6.108807258985442e-08
ZNF207,2.1540099716961613e-10,1.4247796867328427e-08
FAM193A,1.67425496960277e-05,8.056798385469414e-05
ZNF138,3.39714517881503e-07,3.258035367450548e-06
PHACTR4,2.8938271746771103e-06,1.8469725020132152e-05
GOPC,4.628854735145951e-08,7.165861075089775e-07
FNDC3A,3.3080394674698776e-08,5.503649809141196e-07
RBMX,2.9213517483980343e-06,1.8601886220546177e-05
MED7,1.841751531532508e-08,3.4649201108438726e-07
ZNF484,1.965997782140497e-05,9.193187572528443e-05
AMBRA1,1.8746486302287183e-08,3.4918285687560913e-07
AP1AR,2.2559724985867661e-07,2.3789066521329437e-06
SMARCD1,7.244548830798006e-15,1.976675148483236e-11
SCAF4,8.224674050771057e-13,4.4882046295057655e-10
TAB3,2.01232811379082e-06,1.365189400507665e-05
HSP90B1,6.7478883892117095e-06,3.727047261126346e-05
BUD23,1.576838185880974e-07,1.7596740246119583e-06
IKZF1,7.920321744964173e-11,6.8605072638523e-09
FZR1,6.107674703777405e-06,3.4079326031199695e-05
DEGS1,9.692387395658444e-06,5.037272192200774e-05
NOP14,4.192221235271531e-09,1.1269434128510712e-07
TBXA2R,1.0170988398882935e-05,5.248544030184734e-05
HECTD4,1.7438427494322766e-05,8.332880808802042e-05
PTBP1,1.550543517941999e-08,3.0218985633605316e-07
UBR5,4.86040496910231e-08,7.34760004034715e-07
GEMIN5,2.4717825124396123e-10,1.541544819472339e-08
SNX2,1.7774746355212323e-05,8.46025214656726e-05
SPPL3,4.744774232585018e-06,2.7841110738942413e-05
VRK2,6.428890760226844e-08,8.949606346570889e-07
GORASP2,4.818925823915545e-12,1.2231106149352153e-09
SMARCC1,6.739959249879302e-10,3.157077907861919e-08
ATF7IP,7.455120902198279e-08,9.95092218203865e-07
TEX261,3.2182627328902425e-08,5.378885063822987e-07
RNF214,2.005910958683809e-05,9.34379522111613e-05
DNPEP,4.076815939114753e-06,2.445267924633783e-05
BRD4,6.457287168376646e-08,8.977685624925186e-07
ADPRM,6.093825391326728e-06,3.404933539933555e-05
ASNSD1,1.3602855994770023e-09,5.142095254710109e-08
TXNDC17,5.689631778148536e-08,8.170610687725411e-07
RLF,1.7626843989787353e-05,8.397179192690493e-05
PBXIP1,9.930811973998912e-06,5.136724259915836e-05
C18orf32,4.978858891877817e-11,5.175168185329e-09
DRG2,1.459283090606082e-06,1.0402753527677844e-05
CGGBP1,4.797903571587422e-06,2.8087304200528307e-05
AP3S1,8.53149247529407e-10,3.694948764895218e-08
CETN3,7.645080300333525e-09,1.7662209136443518e-07
TTLL5,7.976087524545455e-08,1.041396295177478e-06
SLF1,1.075913537705939e-07,1.304724483391402e-06
HSPA9,8.65540673927389e-09,1.9239329766280089e-07
AP3D1,1.8347862713577526e-09,6.277384754106117e-08
BIRC6,2.56280620491265e-10,1.589231075023674e-08
MEPCE,1.7752138464065675e-05,8.453177975428132e-05
EZR,2.702493489573173e-10,1.657023255348405e-08
MCM3,6.169483417707061e-08,8.665861263945285e-07
PRDX6,2.021027645855325e-06,1.3683310004258696e-05
ANXA5,5.319032919178542e-06,3.055364488416558e-05
RDH11,6.802989358648494e-07,5.629099761962825e-06
STIP1,2.36816446056395e-09,7.199483822449847e-08
ACO2,3.868709176792451e-07,3.6242997386706276e-06
COMMD10,4.0892000271082066e-10,2.242689904314521e-08
PTDSS1,4.6790378152862676e-07,4.2274022115922455e-06
LPAR6,2.2157150468483856e-09,6.948940810719334e-08
BBS7,1.9424459212184492e-05,9.106466831691648e-05
TAF3,9.443314086962242e-10,3.979317758498298e-08
SLC36A4,2.4609308406894254e-09,7.419502540133809e-08
TMEM65,1.0769476042795966e-08,2.2994183305960085e-07
PTCD3,4.446677563861803e-07,4.064576124957095e-06
DHX9,4.5822907519694834e-08,7.113957505973677e-07
NAMPT,2.630170088507161e-07,2.6653367080749445e-06
S100A10,1.563746627965566e-05,7.615676348780093e-05
TLN1,5.063212411143498e-09,1.2971807571647918e-07
APEH,4.871276898290018e-06,2.8415347978587526e-05
44990,1.3799374802920905e-06,9.947581017112203e-06
GLS,3.133075841004146e-07,3.0476283180676693e-06
POFUT1,7.468541330482958e-07,6.070164553194542e-06
GTF2F2,3.396094072831544e-08,5.624426511514942e-07
ATF1,7.797327312473601e-06,4.2003963617145554e-05
LPXN,6.910695496856043e-11,6.27184846960039e-09
PHF13,1.4584832115809169e-05,7.183161449094822e-05
RPL34,9.991081944614949e-09,2.1721647080383976e-07
STAG1,8.482525499330565e-08,1.0853257127748392e-06
WNK1,4.491701749870312e-09,1.1812634433273394e-07
GOLT1B,1.696154266764552e-05,8.133491945284851e-05
GALNT1,1.872754618807771e-09,6.32793929091889e-08
C11orf24,1.3183877317292704e-05,6.600405368850118e-05
EIF5B,3.4761988252168164e-06,2.1630121994536107e-05
PPP1R2,1.0114666002893597e-06,7.708901170082452e-06
ATP23,1.8573890021316697e-05,8.783164458087107e-05
PRPF40A,4.801991740019309e-07,4.3187310332738534e-06
NAGPA,1.3536647728240007e-05,6.752238268099243e-05
MATR3,3.466729489716649e-07,3.307606715380512e-06
STARD3NL,1.9895858905072637e-08,3.6556128634673866e-07
SMIM14,4.717524246827812e-10,2.452318041944392e-08
OTUD1,9.782138466639633e-07,7.502618357336962e-06
C5orf30,3.674568972207943e-11,4.312284490610482e-09
AHCYL1,3.2409174526898484e-12,1.0512859438966546e-09
RBM27,1.1322893243883254e-05,5.777375262447024e-05
TBC1D12,1.5347947567071022e-05,7.491438073834525e-05
PDIA3,7.178935018964294e-08,9.72847604285823e-07
SUPT6H,8.784490925933166e-09,1.9447045429134805e-07
AP5M1,1.1847163433833366e-08,2.4770103777175737e-07
CHD4,1.0921643773707079e-08,2.3145401970143507e-07
TNPO3,1.2379321695893665e-06,9.08593927296459e-06
MPHOSPH6,3.5511379628101896e-06,2.197298493310582e-05
DKC1,1.2686585294407583e-07,1.4950276769816552e-06
RB1CC1,4.5678113437327646e-10,2.4200530585193883e-08
IK,9.216317146834363e-06,4.8280036142342854e-05
KHSRP,2.6342797758709576e-11,3.4868808122737623e-09
CENPK,1.6910565939874068e-05,8.116179272989691e-05
ACAD9,1.950055106234039e-05,9.134292458986395e-05
KIN,1.1261557192983235e-07,1.356607452585199e-06
ZNF140,5.108294761878308e-07,4.490105080657528e-06
VBP1,1.9671305611744575e-09,6.51427623311532e-08
COG2,5.109685275954416e-07,4.490105080657528e-06
RPL26L1,4.4373257267961825e-09,1.1726143579238144e-07
ALMS1,1.9404151522976843e-07,2.09885685598733e-06
ZNRF2,4.215148364909192e-06,2.513886844514695e-05
SPEN,6.807528991811475e-06,3.754288601143529e-05
CEP120,6.780575610530612e-06,3.743206991063788e-05
ZNF292,3.8365989333688465e-08,6.157741288056998e-07
P2RY8,3.5625087944796393e-06,2.2029020386940954e-05
MFSD14A,1.9066836484422253e-05,8.97737072437379e-05
HMGB2,4.1268302380188795e-16,2.2520112608869026e-12
MRPL30,1.295930934039881e-06,9.441782519433418e-06
TEX30,7.340544050465702e-08,9.842100462749715e-07
GNL3L,2.1478057711737927e-09,6.814288426334528e-08
ETAA1,1.6341278869558418e-06,1.1461999844624716e-05
MGA,1.4567309015750424e-08,2.895949191218582e-07
SYCP2,1.4887194907289112e-06,1.0584941056557223e-05
MARCKSL1,6.005123872519595e-07,5.100683560757792e-06
MOSPD2,4.581496588244672e-09,1.1914401574832089e-07
ATP11A,2.0134934613856585e-06,1.365189400507665e-05
GORAB,9.051342756699505e-08,1.1446854559283709e-06
INIP,7.422432429989984e-08,9.939684360847937e-07
RSBN1L,4.504485664536436e-08,7.02313664896438e-07
ST3GAL6,1.0100889579699463e-07,1.2428535385889507e-06
PSMD1,3.5554913029920835e-08,5.826521333461802e-07
PDLIM1,4.936289217908618e-08,7.388027557367148e-07
SPCS1,3.636396029164265e-08,5.926371206367196e-07
PLSCR1,1.60098542189228e-05,7.7692996418552e-05
TCFL5,3.0061456101116624e-07,2.9611076885161267e-06
CCDC90B,2.659981144653944e-08,4.6301489972493055e-07
CHD8,2.1423362642292837e-07,2.2766755586950733e-06
ACTR1A,1.0038407259835616e-06,7.668399748041516e-06
MTHFD2,1.457289022160304e-07,1.664004843238188e-06
CHD6,1.0607917757109753e-06,8.019762965593484e-06
SLC35A1,8.717109200327806e-09,1.9337099555361316e-07
LSG1,8.62345298457203e-08,1.0994902555329338e-06
ANKIB1,3.6029353882206473e-06,2.2203521641468177e-05
DDX24,2.3483414217731347e-07,2.454961520807662e-06
GMPPA,1.7944967907175087e-05,8.52268841335548e-05
SARS,3.299386053440839e-14,4.501187423406665e-11
VPS33A,1.3294206190314444e-07,1.5484841660735521e-06
FH,8.267817364366772e-08,1.0640914942771104e-06
UBQLN4,1.1083993996808551e-13,9.855375687808289e-11
EIF2B5,2.678156575105056e-06,1.740881528332137e-05
PPP1R9B,2.469605779434639e-07,2.549978947658434e-06
MYL12B,7.693021242157117e-08,1.0179065792877742e-06
RETSAT,1.9315100770781703e-07,2.0913195417888043e-06
SNRNP200,1.088936272082935e-09,4.352952592067423e-08
PRPF6,1.848465312290803e-08,3.4649201108438726e-07
PAF1,4.839009930770568e-08,7.34760004034715e-07
RBM4,1.6652099784059002e-05,8.02743008141431e-05
NELFE,3.586151399530154e-09,1.0010039993471127e-07
ACADVL,3.1185175478799403e-06,1.9696470206922263e-05
SLC25A11,7.955026833130583e-07,6.369857876506764e-06
NCAPD2,7.809389834367542e-08,1.0293681238198956e-06
NDC80,1.7482194855538642e-05,8.340068618035923e-05
ST20,1.638406523981945e-06,1.1484629931110437e-05
SLX4IP,1.207540341353582e-07,1.434069127914363e-06
RPL17,4.4090128275161466e-08,6.893977936892725e-07
RPS17,3.204324699825445e-07,3.1031055699995478e-06
YY1AP1,1.3842782315413804e-09,5.191756913760353e-08
TUBA1B,4.5694385896123144e-08,7.104110080773334e-07
RPS27L,6.579380982416668e-10,3.1085438979262127e-08
TATDN2,9.63366958995123e-12,1.6679333513657406e-09
ZFAS1,2.3685983975784675e-07,2.4714037199972655e-06
C2orf76,3.3912530651901437e-07,3.2552450266917526e-06
RSL24D1,4.348988914153767e-09,1.1605101469211299e-07
CRADD,1.0561520977873905e-05,5.4320659732571065e-05
AMY2B,8.159658524877685e-08,1.0538995637930776e-06
CDK5RAP3,2.4449453202815026e-07,2.529301727540504e-06
ELOC,1.089579600353305e-05,5.582944487444117e-05
ATRN,4.966491007325451e-06,2.883652990179929e-05
NUDCD1,6.748918788376499e-07,5.597089639539598e-06
TRIQK,1.0965544088178337e-08,2.319340080976325e-07
MGC27345,3.515959530815344e-06,2.186286710953308e-05
ARMC10,6.197974531573148e-07,5.231608200896314e-06
RMC1,3.3721952495013276e-07,3.2446045011336973e-06
DPY30,1.0134875676734024e-06,7.718913687081308e-06
PAAF1,1.1994271306149395e-05,6.0688677345996524e-05
MIR17HG,4.178378528512995e-06,2.49741638883849e-05
ODF2,1.0050023053740895e-06,7.670346266330638e-06
NCL,3.222534522823108e-09,9.159047339086302e-08
DIAPH1,9.146823080769329e-10,3.8995479337311115e-08
FUS,1.1546960340130847e-05,5.869749657763766e-05
SMARCB1,4.694823050018998e-06,2.7622263486742506e-05
PIK3CA,6.974993894542559e-07,5.716985170473388e-06
RBM14,5.554016945068414e-07,4.795612416018724e-06
LOC100287896,5.556416999554686e-06,3.161477237407204e-05
VPS4A,5.005736968666035e-07,4.445289932955339e-06
MRPL3,7.845062977487756e-06,4.21778410523652e-05
USP25,3.6766825027140197e-07,3.480252630929819e-06
RELA,3.4922577346931985e-08,5.75747747982501e-07
AUH,1.5329102160771687e-06,1.0870813579120351e-05
MALAT1,4.842003444609543e-11,5.120104497848672e-09
WBP11,7.601564735826406e-10,3.416664499456232e-08
ECT2,1.0910157661527678e-07,1.3186429758351392e-06
CNDP2,7.787923853098585e-09,1.7856596834604613e-07
TMEM128,7.31955170469146e-09,1.7253906545356931e-07
LOC220930,2.881480692099123e-06,1.8443681674225675e-05
NOP56,2.05363692007527e-10,1.3835427991173763e-08
EPB41,6.096060231839991e-06,3.404933539933555e-05
HORMAD1,4.3816072102690466e-08,6.870749996212973e-07
RIPOR1,8.491965273177267e-07,6.6966263722150785e-06
GGA3,1.2903922987650226e-08,2.632400289480646e-07
CAPN1,9.794974192718022e-07,7.50718738337953e-06
MDH2,9.099042496661514e-07,7.073144573259527e-06
ANXA2P2,2.8144816602719673e-06,1.8143681535858387e-05
SLC25A46,9.752646697120865e-06,5.056550406288699e-05
HDAC1,1.731968825683491e-08,3.291894334977177e-07
SHMT2,7.168302963324964e-07,5.860289029342971e-06
FARSB,5.702684679714569e-08,8.178594033430328e-07
MSTO1,5.435276957313595e-07,4.722978719117881e-06
ENO1,3.6128231835690226e-07,3.43171037645538e-06
ZFAND1,8.529213514122009e-08,1.0900215022614473e-06
GPS2,7.144514673683914e-09,1.6914367277350593e-07
SDHA,3.8595047855072634e-08,6.185408991046443e-07
ZNF180,6.840574248972891e-07,5.647354565301825e-06
CMAHP,9.589508978752346e-06,4.990934715980119e-05
CS,2.6841887678919353e-09,7.982353191491166e-08
PREB,3.543742433178692e-06,2.196883227408297e-05
PABPC1,5.796915882431506e-07,4.968431032335255e-06
TPP1,1.4854647514702066e-07,1.680037543787133e-06
CAMSAP2,1.602458192018748e-06,1.1283373359801687e-05
SUCLA2,7.338518871623364e-06,3.9915914109105176e-05
IFRD1,1.9868711866272396e-06,1.34939092289046e-05
PPRC1,8.84209912943017e-11,7.539271085828193e-09
GET1,1.44088712380742e-05,7.109331857700805e-05
NAT1,1.9204952524229643e-10,1.3100178240590145e-08
MICU1,8.077693901071742e-07,6.453876371617642e-06
MRPL47,1.543935963802546e-07,1.7318105970134622e-06
EIF2B4,6.233339660367642e-10,3.002629044311989e-08
RMDN2,1.4740638011587365e-07,1.6715322270165732e-06
ZNF254,2.66125457014248e-10,1.640956631555651e-08
CCDC138,1.1731250629832798e-07,1.4038911115569643e-06
ZNF107,1.570472808959693e-09,5.694398749829265e-08
PCNP,1.1737185595002613e-05,5.949820881739829e-05
EIF4H,3.6477776116190097e-07,3.4618995524530325e-06
ATF2,1.0939575414734002e-06,8.245478320193845e-06
TUBB4B,1.39400314428488e-07,1.6014895070237031e-06
AGTPBP1,7.820001562881587e-06,4.2065959768234246e-05
CD101,1.7359578693747142e-06,1.2044656189673001e-05
SCYL3,5.78193859325179e-06,3.262878893834025e-05
PZP,5.372524217349428e-07,4.675895479118951e-06
SCOC,6.452191158806228e-10,3.0725021767120956e-08
BLMH,3.6580420051114684e-07,3.4686247127529593e-06
SLC35A5,1.86883313534097e-07,2.0376068770341007e-06
WDR1,1.9623883038778927e-05,9.184179223208972e-05
EAF2,2.3445221990594887e-06,1.546109684624487e-05
ZNF236,5.048787045563644e-07,4.461737798808228e-06
PIK3C2B,4.847486856856554e-07,4.34007149759905e-06
UBAP2,3.6758436349346904e-06,2.256210267849135e-05
SREBF2,1.3201134763445267e-06,9.611553356120189e-06
MAP3K12,4.1151863938325546e-08,6.518598592494702e-07
LMNA,9.410944937289173e-07,7.263865137593637e-06
CCT8,7.777602577029388e-06,4.1939107967242466e-05
SLC25A35,8.115576775180236e-07,6.474664102654759e-06
DPF2,3.57601333785527e-06,2.2100005418659355e-05
PSMD11,1.7298957128367692e-08,3.291894334977177e-07
TATDN1,1.6113217903784964e-06,1.1331163672803421e-05
SRP9,7.327092422331266e-08,9.84164111099613e-07
MED24,5.2740358968318274e-06,3.0327095773457622e-05
UBE2V1,1.1004837676874489e-11,1.7926387821702714e-09
RPL21,1.5987838906174447e-06,1.1264769129889471e-05
TMEM203,2.7056354245002616e-06,1.7556067195598013e-05
S100A8,3.314618646775353e-11,4.019527545656245e-09
CKS2,5.372271362019497e-07,4.675895479118951e-06
CNPPD1,9.817100235637993e-06,5.0851367808140984e-05
GALT,7.762581477537028e-08,1.0256757172619747e-06
GARS,6.170688595488593e-11,5.856251767927174e-09
LAMP1,1.1873376628422962e-06,8.815376362082192e-06
ZNF204P,1.947092340912139e-06,1.3265022352506294e-05
SNRPG,4.312030137973504e-06,2.564659233015958e-05
RIDA,9.33244994010146e-06,4.8804196763903845e-05
NDUFA5,2.7261985019298484e-06,1.7668486015476465e-05
NSD3,7.481059661582193e-06,4.058065862152488e-05
CEP152,4.743993743338957e-06,2.7841110738942413e-05
USP36,4.545506874255495e-09,1.1868340197517814e-07
ARHGEF2,1.062009124827047e-06,8.021292448693697e-06
KCTD10,1.8242633014809508e-05,8.652763873256451e-05
GPATCH8,1.5223747070160143e-08,2.9932958620776654e-07
EGR1,7.7752973118695e-06,4.1939107967242466e-05
ELAC2,9.706688550911586e-06,5.04230360993094e-05
TRAPPC12,7.340227195984431e-06,3.9915914109105176e-05
FLNB,8.158535222792685e-07,6.499434556318202e-06
ZNF875,2.1587447771287116e-06,1.4410116512283031e-05
DENND1C,1.632051048090342e-07,1.8101834490709342e-06
ZNF761,2.233933057019038e-08,4.023291317542208e-07
GOLGB1,1.394641252586174e-05,6.921834757037518e-05
RSPRY1,2.9809673543652543e-07,2.9469454443426072e-06
COPS7B,3.976752929202934e-08,6.334990268110417e-07
RBM7,2.8878882995411066e-09,8.427383128660866e-08
COG1,4.9585998218845975e-06,2.8832263428901703e-05
DPM1,1.3126840779050872e-09,5.009312596593049e-08
RNF146,7.467194465276688e-11,6.542715548654715e-09
SUGP1,7.392530804446832e-06,4.017486084334383e-05
ZNF594,2.8771641537904885e-06,1.8428033787834147e-05
LRRC41,2.1602854878380873e-06,1.4411586683535993e-05
CRTC2,8.256324618858897e-06,4.3934435343844954e-05
CCDC92,4.922965320520193e-07,4.396828437656088e-06
FYN,3.151589998185684e-09,9.007485904874616e-08
ZNF708,4.1704359724071073e-07,3.8568369916571986e-06
UBFD1,1.3566188047352525e-07,1.5689465876435657e-06
ARG1,9.134420853371787e-08,1.1525210311410368e-06
ABCA10,3.593837621355103e-06,2.2184222233588953e-05
CUEDC2,6.245160280912787e-10,3.002629044311989e-08
CZIB,8.05309720832966e-06,4.3084070064563685e-05
PI4K2B,4.6124278079819344e-07,4.184541737017027e-06
