Gene,P-Value,Corrected P-Value
SLC25A3,1.9599259816962872e-07,2.113698830457834e-06
FAM241A,1.0017536468213389e-07,1.2395849548081738e-06
LIN9,1.8538230085091653e-05,8.77010156691332e-05
ARID1B,6.713717507431482e-07,5.57213025673819e-06
TM6SF1,8.368497185663811e-06,4.4466299067348994e-05
CD84,1.439988341637607e-05,7.108110701326478e-05
UBA52,1.6802142883144104e-05,8.078351869014746e-05
RCN2,9.483809527656467e-08,1.1883616209511215e-06
PSME3,3.282114444358973e-09,9.280051048117573e-08
STK24,4.083996035299293e-06,2.447706355258456e-05
UCP2,3.783922357172394e-11,4.393375383636118e-09
XPO5,4.829811255555809e-07,4.333451920435502e-06
FBXO38,5.462003618735266e-07,4.73489336734525e-06
RPAP3,2.4322545491781156e-07,2.5209521509715057e-06
MYNN,1.228396912817624e-09,4.720677431863221e-08
C6orf120,2.752310567541633e-06,1.781655844255598e-05
SUPT5H,2.857444699745549e-10,1.7135248051111494e-08
NCK1,3.3197861005460983e-07,3.206384557642488e-06
ITGAL,1.0100481494220984e-08,2.1915835989647676e-07
KANSL3,3.404613891726988e-09,9.576792787192873e-08
ZNF644,1.0061284591664195e-07,1.2414268487102497e-06
ATAD1,1.215473550769985e-07,1.4419215579460452e-06
SOCS5,8.499436859452401e-09,1.9087006972029527e-07
POU2F2,3.2360782419538726e-06,2.028636297109969e-05
TENT2,6.14329637911055e-08,8.658190914138938e-07
RPL31,2.032085562824187e-06,1.3749647757385728e-05
MIER1,1.512909769876243e-07,1.7022574462298263e-06
IFNGR1,7.33118400516754e-08,9.84164111099613e-07
LRRC8A,8.58502740390411e-09,1.9160938463437518e-07
CCDC121,7.072607666614187e-06,3.871135409901065e-05
CIZ1,9.632072753070184e-12,1.6679333513657406e-09
PGM2,6.179457683725554e-09,1.505415204468319e-07
ELMO1,6.833182842240606e-06,3.760834974292182e-05
H2AFZ,5.766899588849553e-08,8.249009451206294e-07
DCAF7,3.4361233790170855e-07,3.286752897335011e-06
RETREG3,1.2445941561889401e-06,9.128696653660008e-06
CENPU,1.29690987936921e-05,6.504813613711194e-05
STK38L,4.688573864449748e-06,2.7600374949624893e-05
EIF3K,3.1446644524689165e-06,1.9850125988574758e-05
FAM200B,4.539701896980891e-07,4.135751794962391e-06
CDK17,2.9611921200378986e-09,8.595332659067454e-08
POLK,5.575552347811488e-07,4.806601763350283e-06
C2orf69,3.9200113204798706e-06,2.3715633897847732e-05
PTPA,7.158975755943272e-06,3.906653070018244e-05
ZBTB6,1.4088915733403475e-05,6.967214604185117e-05
CD68,1.3424797527364579e-05,6.701291923196381e-05
RGS18,1.681643329562203e-10,1.2154606158173434e-08
SP2,6.299239174549256e-07,5.300685917581386e-06
EIF1AD,2.0996451960456975e-08,3.8320280384017965e-07
CEP104,6.280608197705484e-12,1.3440501543089736e-09
ATP5MD,1.2697303402523126e-05,6.377283448464675e-05
ZMYM5,6.000049868680937e-09,1.47487712312576e-07
CD3E,8.127757584867488e-08,1.05102306020431e-06
EPN1,2.00006449454723e-05,9.324521099311605e-05
ZNF569,1.0837751558664779e-05,5.558422016506927e-05
AGFG2,1.8096161532765915e-09,6.212262881309203e-08
DNAH11,1.5926448909670846e-05,7.739147969730527e-05
ARL5B,8.741872860956769e-08,1.1106961630323886e-06
SLFN12,4.707178503284152e-08,7.266498753160288e-07
KBTBD8,1.1093918017894634e-06,8.338775567996009e-06
PQBP1,7.739040069280839e-07,6.228899949567188e-06
SNX16,8.956956035883677e-10,3.848670006914742e-08
TIGD7,1.3559804668308118e-08,2.740587187961385e-07
BCL2A1,1.173904012658125e-13,9.855375687808289e-11
PLCB1,1.941051508948424e-05,9.103840209997035e-05
ZDHHC13,7.499590149044561e-06,4.066096715681685e-05
ATP8B4,5.908087442151495e-08,8.416564657665212e-07
ICK,7.111285408104211e-06,3.8884052577179036e-05
C4orf3,1.0102917472984573e-06,7.705327833693474e-06
IDH3B,1.2308788870600492e-08,2.5588213663568336e-07
RNF187,4.6702204569115475e-06,2.7522022714218485e-05
ARAP2,5.4480460111817685e-06,3.116350847276615e-05
SPART,2.3508703350224414e-07,2.4552534771708064e-06
POLDIP2,1.9134596207306964e-05,8.99762959959277e-05
MYADM,9.47820677345546e-06,4.9400739601477035e-05
ABHD10,1.3389340736064362e-05,6.68792973882867e-05
TBCD,4.200316450498834e-06,2.5091545561436384e-05
PPIG,5.454784728361058e-10,2.730895436941862e-08
SIN3A,4.579824134601468e-11,4.9489307529742996e-09
SLC25A40,1.2576158715958166e-07,1.4870660479519764e-06
ZC3H18,5.934263226552457e-06,3.331612595400901e-05
TERF2,1.448880145669498e-11,2.1962608208106804e-09
RPS29,1.6571408244518202e-05,8.002670335427949e-05
BRI3BP,2.2311513258212157e-07,2.359572245156274e-06
CCDC126,7.654594943684978e-09,1.7662209136443518e-07
KIAA1107,2.900242680455173e-07,2.8801864071417432e-06
EIF4E3,1.86291234033742e-05,8.798427217936015e-05
SURF2,8.376294232051333e-07,6.634170917896098e-06
RUVBL2,1.4748813767793293e-07,1.6715322270165732e-06
AP1B1,1.2035484414244286e-06,8.899409003865998e-06
TAF1D,7.640419398065149e-07,6.167717256692533e-06
PPIL3,3.946280088631217e-06,2.3830240319071426e-05
PDE3B,1.1196691981741876e-06,8.410233743202396e-06
ZNF684,1.3967599769330587e-09,5.220629585016233e-08
ZNF100,3.066749355371438e-07,3.0099372719895572e-06
HECW2,2.736844643822625e-08,4.738660653035145e-07
OXSM,7.72770420463561e-06,4.171125800662366e-05
FOXP1,1.5203056572184238e-07,1.7088172958683703e-06
UBA3,1.0808151031663481e-08,2.2994183305960085e-07
AKIRIN1,8.76071758533613e-06,4.619056605138093e-05
HSD17B11,8.978009460878782e-07,7.0090125361967826e-06
SCRN1,3.63003019420533e-12,1.0512859438966546e-09
ORC4,1.652339249642086e-07,1.8268676996758631e-06
APLP2,1.9266316086975798e-07,2.0881089749081812e-06
SVIP,4.0329299459722835e-09,1.1003849357585375e-07
PRPF38B,3.6155784272467516e-06,2.2253326993621293e-05
FPGT,1.6529934565323946e-09,5.895676661632207e-08
CTDSPL2,5.4043721507370265e-08,7.843526283662753e-07
KBTBD7,2.2465777257888085e-06,1.4914324391276798e-05
MTX2,7.793648220313213e-06,4.2003963617145554e-05
ABHD13,4.5274761861960977e-11,4.9489307529742996e-09
P4HA1,3.2552745862315084e-08,5.429481060064002e-07
TMEM39B,3.173722294416695e-07,3.0789337885567827e-06
ZC2HC1A,4.98247197192854e-07,4.428232825865479e-06
PDS5B,1.9031641204699757e-05,8.964666901514595e-05
CCR5,8.372968315505672e-08,1.0738258072318322e-06
ARHGAP12,2.090180431113358e-09,6.729271157867608e-08
IKBKB,2.8672877868885837e-06,1.8375560132766883e-05
ZNF280D,2.7956157702017988e-08,4.7673985181222546e-07
SGF29,1.583371927955691e-08,3.0639931244163846e-07
ZNF654,5.115575377764889e-08,7.606456358709264e-07
MIS18BP1,1.2162619428849827e-10,9.348086510314578e-09
FIGNL1,5.402483590664728e-07,4.6982235783677164e-06
PGGT1B,1.9024752280113547e-07,2.0667075004056845e-06
LONRF1,1.0865040698585324e-05,5.569800572304379e-05
ATF7,4.584981364696241e-09,1.1914401574832089e-07
STAG2,7.590354569610101e-10,3.416664499456232e-08
MICU3,7.219643765517608e-08,9.763964319313406e-07
ZDBF2,1.158617998809643e-05,5.886944524678046e-05
TMEM170B,5.048113889206227e-09,1.296544270012417e-07
NFATC1,7.689723549221529e-08,1.0179065792877742e-06
ZNF624,1.3818863376650972e-06,9.955054448367571e-06
TMCO1,1.9108653720411197e-09,6.390890286591775e-08
ATP6V1G1,4.677400153934813e-06,2.754945778739587e-05
MED6,1.5404626363692156e-08,3.0076223995230085e-07
SEC62,3.976117890431517e-08,6.334990268110417e-07
MFN1,1.6479683009839943e-08,3.1609711839963645e-07
TMEM70,2.5010186432527027e-07,2.57025588252919e-06
CHMP1B,1.2469514751887153e-06,9.139844459509496e-06
TXNDC9,1.0884878611881544e-09,4.352952592067423e-08
ZNF592,1.583802392664695e-06,1.1188103115561478e-05
CCDC85C,1.727268203529649e-05,8.260913748169407e-05
APC,1.5991482119415557e-05,7.763836114381734e-05
ACSS1,1.8100601028553477e-09,6.212262881309203e-08
OMA1,5.511253006514212e-08,7.954006984041342e-07
STAM2,5.373641476016765e-08,7.843526283662753e-07
GPALPP1,9.190056340784621e-06,4.817496393051073e-05
CCDC186,2.3191352180068203e-06,1.5330733960827642e-05
OSGIN2,5.076496527404978e-07,4.478971956353915e-06
TRAPPC10,2.5750608376828367e-07,2.6290190816155734e-06
GPR65,1.41113488572699e-09,5.256357045332549e-08
RIF1,1.415451377397704e-06,1.0130769633912115e-05
PGAP1,4.4119860621515244e-07,4.039632204892763e-06
RASAL3,5.663809288246634e-06,3.2011814900012306e-05
IL24,3.0030248205490426e-06,1.905524005318154e-05
B4GALT6,1.6995498880740079e-09,6.04198289199991e-08
ZNF720,1.9187791807512946e-05,9.014875582746289e-05
C5orf58,1.6486719769626222e-06,1.1542099969747686e-05
PRSS33,1.142888442777043e-05,5.820571378660125e-05
PCSK7,2.515046274873855e-08,4.434445079801818e-07
TFEC,6.479757308506245e-08,8.986031926942459e-07
KAT7,9.213293920666002e-10,3.91260271790462e-08
COPA,1.8061067089292586e-13,1.2319905388283706e-10
AATF,1.04514857854757e-06,7.926860032153007e-06
COX16,1.838325047053197e-05,8.711888651124008e-05
TSR1,4.0217889216257826e-07,3.7420123009909456e-06
PSMD8,4.132749621701631e-06,2.4742089616704114e-05
UFM1,1.358488661648497e-07,1.5689465876435657e-06
YIF1A,2.5438920074437144e-07,2.6045063198162005e-06
PTPN7,5.284487746014894e-07,4.625092161989299e-06
KPNA5,1.628644342744149e-05,7.889491503200018e-05
MON2,1.4333769568336246e-08,2.859940787364201e-07
TUBE1,1.3549234198103262e-06,9.807472589170125e-06
RCOR3,4.155657584885839e-09,1.122644724788219e-07
ZBTB33,1.1625179927057506e-05,5.901265754600261e-05
TOPORS,3.203593462882045e-08,5.362579609493043e-07
RRAGB,5.6067661017661066e-06,3.17387164080266e-05
SNX6,6.041788068392945e-08,8.541460489435312e-07
ELMOD2,2.6708961231269287e-11,3.4868808122737623e-09
CCL5,1.3737165625486834e-06,9.915835028873235e-06
ANKRD13C,1.320787079930111e-07,1.5433693993958494e-06
ZNF92,1.9622764856526173e-06,1.3343480102437797e-05
MAP7D1,1.5530382801358605e-07,1.7366659620289736e-06
SEC31A,1.2589538984674292e-09,4.821130823815271e-08
ZNF33A,5.292104297326597e-07,4.626523561029798e-06
NT5C3A,3.532806395537432e-07,3.364489441613921e-06
FBXO46,1.4268404509761482e-05,7.049586546832812e-05
EHMT2,2.409298778330361e-07,2.5033547214307984e-06
IFT80,1.7330762837831468e-06,1.2039971076517672e-05
OGFRL1,2.5593058322294936e-06,1.6725906498774065e-05
OTULINL,1.4963479659829556e-07,1.6888460910794185e-06
TYW5,1.1659165334837693e-05,5.9157661768674374e-05
GK,6.2576619285777495e-06,3.488055275204166e-05
BPTF,2.4835345709863197e-06,1.628924056955811e-05
MS4A3,1.7854139226716783e-08,3.377124359105493e-07
N4BP2L1,3.1434639482980043e-07,3.0550102877759945e-06
RBM12B,8.36710206665254e-07,6.631703119494977e-06
CEP135,8.877943168615525e-07,6.945797257510382e-06
ZNF765,3.8893103553732893e-07,3.6373550315804697e-06
JKAMP,8.248135554748924e-10,3.619727926678275e-08
MCM9,1.749167772281861e-05,8.340068618035923e-05
CSGALNACT2,4.3959238027256514e-11,4.895623712545689e-09
RBM44,1.0272740550790304e-05,5.293517014699026e-05
THAP1,3.9602010231206946e-07,3.6941567492597658e-06
CASP1,1.5906726740449114e-05,7.73300737840809e-05
HSP90AA1,7.254589324111215e-06,3.950927539089312e-05
LUC7L3,1.6057283226819864e-06,1.129910955109684e-05
PEX2,7.188063682732852e-11,6.378091628727345e-09
RBM18,1.8640847875731417e-06,1.2779284781138987e-05
DPH3,2.583922203719914e-06,1.686658309294207e-05
HP1BP3,3.6879759357235564e-06,2.2587300427882657e-05
SCAMP1,3.826368719725927e-07,3.590798642054064e-06
PELI1,2.10019653621626e-06,1.4096891141613938e-05
NFYB,3.093410214816955e-07,3.0197674550426715e-06
WDR5B,5.1253938094821736e-08,7.610686807712714e-07
DDX21,4.168725952494944e-07,3.8568369916571986e-06
POT1,3.362205319447938e-06,2.0944696835876024e-05
ENO3,2.4363754460309404e-07,2.522827477986877e-06
ZNF277,3.1511564516407124e-07,3.059761700463233e-06
COMMD2,2.9285881918435396e-07,2.9056919568891263e-06
SLC35B4,3.648196155680951e-08,5.926371206367196e-07
MRPS33,1.2315130899831684e-06,9.050999235068215e-06
HNRNPLL,2.534414833496899e-08,4.461387660126638e-07
ZNF586,1.5022918252440932e-05,7.368994598073723e-05
IMPA1,9.684345337107786e-06,5.035490472091204e-05
TNFAIP8,1.6695963700221236e-05,8.041471660380167e-05
ZNF507,3.5088340399871065e-07,3.3445777041414216e-06
ZBTB1,2.1119574454211348e-07,2.253167503355451e-06
FMNL3,8.427665755292427e-07,6.659063976099965e-06
KIAA1586,4.868134511631237e-08,7.348661142454124e-07
USP53,2.673685705021553e-06,1.7390110717881543e-05
TAOK3,3.900542605736772e-06,2.3637158244870144e-05
TNPO2,3.265088005239285e-09,9.255888438748457e-08
CEP57L1,4.915926913663501e-08,7.37997611220405e-07
PTPRC,7.905962129031617e-06,4.245666042401858e-05
JAK2,2.2165316314630227e-10,1.4485764207058341e-08
ZNF23,5.94422003490967e-07,5.060469380733552e-06
DCAF4L1,1.3247587833825026e-05,6.626222438971876e-05
TMEM201,1.1110709630633547e-09,4.35422651651208e-08
CLEC7A,5.628649877589827e-06,3.182978193837817e-05
COMMD6,1.7974948998412e-09,6.208183334451537e-08
ACVR1C,7.053745769227737e-06,3.8646878175377275e-05
RSRC2,1.0077919992278554e-07,1.2414268487102497e-06
SEC11A,4.291514693629444e-10,2.3186926418946414e-08
RAB18,1.8656809671874438e-11,2.75162730755186e-09
CSNK2A1,3.6122659600526764e-06,2.2248459756216087e-05
STX7,3.814673612891418e-09,1.0540088053442262e-07
KARS,4.688848182564524e-10,2.452318041944392e-08
RPL22L1,2.3145994022892455e-07,2.4220074665949018e-06
C1orf198,4.78416397957319e-07,4.308115979625561e-06
GMCL1,4.712914190750134e-07,4.250970700648509e-06
EVI2A,2.846078531603909e-11,3.611872220223845e-09
HLA-DOA,6.813515395411941e-07,5.633538411024692e-06
UQCRQ,4.073780005245376e-08,6.462388804832564e-07
SERTAD2,7.820398787772337e-06,4.2065959768234246e-05
TMEM68,2.2944720651717016e-06,1.5197205475488819e-05
GEMIN4,2.0895083425081982e-06,1.4054329247538304e-05
SLC22A15,1.5871407789239295e-08,3.065850347110755e-07
PDK1,2.7260929890119885e-07,2.747237200561112e-06
TRAPPC13,9.473478874362077e-08,1.1883616209511215e-06
ARFGAP2,1.7150129881635483e-05,8.212259858899772e-05
ELK1,9.187816401738824e-06,4.817496393051073e-05
PIH1D1,5.6025950943717566e-06,3.173156349765093e-05
CBFA2T3,1.3599741356362165e-05,6.777514938965145e-05
BTN3A3,8.190067463352827e-06,4.368836573559763e-05
NOD1,3.352209876572464e-06,2.0915880110356957e-05
PLAGL1,6.896065669552974e-07,5.67171520101742e-06
HACE1,1.1254591844046656e-06,8.43051581234902e-06
PGBD2,1.1755431615826994e-07,1.4052440378437656e-06
NCR3,1.891870394861323e-09,6.372800459727308e-08
SAMD4B,8.935835667780126e-08,1.132702793009899e-06
ZNF844,1.0352406725587928e-09,4.263628943511949e-08
MPP7,6.058227806334767e-08,8.553622028245492e-07
RNASEL,2.1426718433068706e-06,1.431398026287429e-05
TRIM23,3.425051460371964e-09,9.609514560025608e-08
SULT1B1,3.44371764627097e-08,5.686041511558452e-07
TMEM252,1.7455456220297002e-05,8.333720436934448e-05
SCLT1,1.4872952588377381e-08,2.935323771239616e-07
TGFBI,2.3617949236096934e-06,1.5565597703065333e-05
DDX27,1.1207796275193252e-09,4.35422651651208e-08
CXCR3,9.63215211323681e-08,1.1998205514506023e-06
IL16,1.8738706986021124e-05,8.841947602483119e-05
FAR1,6.879072311112819e-11,6.27184846960039e-09
PHKG2,2.8293700533818264e-06,1.822889301216603e-05
SYNRG,2.6860925576354093e-07,2.7119347062010044e-06
SNAPC1,9.572850430803623e-08,1.1954014828580178e-06
